taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1353834	Lasioglossum leucopus (Kirby, 1802)	1353834	Lasioglossum leucopus (Kirby, 1802)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Halictidae	7908	Lasioglossum	1353501	Lasioglossum leucopus	1353834	NE
11591018	Andrena igraeca Pisanty, Scheuchl, Martin, Cardinal & Wood, 2022	11591018	Andrena igraeca Pisanty, Scheuchl, Martin, Cardinal & Wood, 2022	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena igraeca	11591018	NE
1269217	Aphidius absinthii Marshall, 1896	1269216	Aphidius asteris Haliday, 1834	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Braconidae	6910	Aphidius	1269075	Aphidius asteris	1269216	NE
1323916	Leptothorax acervorum (Fabricius, 1793)	1323916	Leptothorax acervorum (Fabricius, 1793)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Leptothorax	1323767	Leptothorax acervorum	1323916	NE
11211035	Andrena benoisti Wood, 2021	11211035	Andrena benoisti Wood, 2021	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena benoisti	11211035	NE
3512	Ichneumonidae	3512	Ichneumonidae	3	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512					NE
1373188	Aglyptus rufus (Dalman, 1820)	1373188	Aglyptus rufus (Dalman, 1820)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Encyrtidae	9440	Aglyptus	1373187	Aglyptus rufus	1373188	NE
4504757	Tapinoma nigerrimum (Nylander, 1856)	4504757	Tapinoma nigerrimum (Nylander, 1856)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Tapinoma	1316784	Tapinoma nigerrimum	4504757	NE
1309085	Conostigmus fasciatipennis Kieffer, 1907	1309085	Conostigmus fasciatipennis Kieffer, 1907	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Megaspilidae	4344	Conostigmus	1308994	Conostigmus fasciatipennis	1309085	NE
1357156	Andrena flavipes Panzer, 1799	1357156	Andrena flavipes Panzer, 1799	394	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena flavipes	1357156	NE
1357402	Andrena schencki Morawitz, 1866	1357402	Andrena schencki Morawitz, 1866	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Andrenidae	7901	Andrena	1345710	Andrena schencki	1357402	NE
1281029	Megarhyssa rixator (Schellenberg, 1802)	1281029	Megarhyssa rixator (Schellenberg, 1802)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Ichneumonidae	3512	Megarhyssa	1280969	Megarhyssa rixator	1281029	NE
